# this is an example snapshot_times.txt file
# copy this file into each Gizmo simulation directory,
# to be alongside the output/ directory that stores the snapshots
# times assume cosmology from Planck 2015
# @author: Andrew Wetzel <arwetzel@gmail.com>
# i scale-factor redshift time[Gyr] time_width[Myr]
546 0.9283439  0.07718700 12.68628478  23.76934
547 0.9299363  0.07534250 12.71003624  23.75146
548 0.9315287  0.07350430 12.73376980  23.73355
549 0.9331210  0.07167240 12.75748364  23.71384
550 0.9347134  0.06984670 12.78117864  23.69500
551 0.9363057  0.06802720 12.80485565  23.67701
552 0.9378981  0.06621390 12.82851466  23.65901
553 0.9394904  0.06440680 12.85215297  23.63832
554 0.9410828  0.06260580 12.87577059  23.61761
555 0.9426752  0.06081080 12.89937277  23.60219
556 0.9442675  0.05902190 12.92295421  23.58144
557 0.9458599  0.05723910 12.94651664  23.56243
558 0.9474522  0.05546220 12.97006005  23.54341
559 0.9490446  0.05369130 12.99358529  23.52524
560 0.9506369  0.05192630 13.01709147  23.50618
561 0.9522293  0.05016720 13.04057768  23.48621
562 0.9538217  0.04841400 13.06404479  23.46711
563 0.9554140  0.04666670 13.08749189  23.44711
564 0.9570064  0.04492510 13.11092249  23.43060
565 0.9585987  0.04318940 13.13433130  23.40881
566 0.9601911  0.04145940 13.15772181  23.39051
567 0.9617834  0.03973510 13.18109487  23.37306
568 0.9633758  0.03801650 13.20444610  23.35123
569 0.9649682  0.03630360 13.22777985  23.33375
570 0.9665605  0.03459640 13.25109261  23.31276
571 0.9681529  0.03289470 13.27438873  23.29612
572 0.9697452  0.03119870 13.29766295  23.27423
573 0.9713376  0.02950820 13.32091963  23.25668
574 0.9729299  0.02782320 13.34415701  23.23737
575 0.9745223  0.02614380 13.36737419  23.21719
576 0.9761146  0.02446980 13.39057205  23.19785
577 0.9777070  0.02280130 13.41375143  23.17938
578 0.9792994  0.02113820 13.43691058  23.15915
579 0.9808917  0.01948050 13.46005122  23.14065
580 0.9824841  0.01782820 13.48317075  23.11953
581 0.9840764  0.01618120 13.50627262  23.10186
582 0.9856688  0.01453960 13.52935421  23.08159
583 0.9872611  0.01290320 13.55241725  23.06304
584 0.9888535  0.01127210 13.57546085  23.04361
585 0.9904459  0.00964630 13.59848329  23.02244
586 0.9920382  0.00802570 13.62148800  23.00471
587 0.9936306  0.00641030 13.64447240  22.98439
588 0.9952229  0.00480000 13.66743818  22.96578
589 0.9968153  0.00319490 13.69038276  22.94458
590 0.9984076  0.00159490 13.71330957  22.92681
591 0.9985669  0.00143520 13.71560152   2.29195
592 0.9987261  0.00127550 13.71789156   2.29004
593 0.9988854  0.00111590 13.72018312   2.29156
594 0.9990446  0.00095630 13.72247449   2.29137
595 0.9992038  0.00079680 13.72476566   2.29117
596 0.9993631  0.00063730 13.72705664   2.29098
597 0.9995223  0.00047790 13.72934656   2.28992
598 0.9996815  0.00031860 13.73163543   2.28887
599 0.9998408  0.00015930 13.73392583   2.29039
600 1.0000000  0.00000000 13.73621602   2.29020
